성별코드,만연령,만연령_제곱,교육정도_학력구분코드,교육정도_계열코드,혼인상태코드,연령_20대초반,연령_20대후반,연령_30대초반,연령_30대후반,여성기혼,남성미혼,여성미혼,고졸이하,전문대졸,대졸이상,이공계,인문사회,직업교육및직장체험_취업관련시험준비분야코드,연령계층코드,직업교육및직장체험_직업교육수혜구분코드,출생연도,가구주관계코드,가장최근학교_졸업및중퇴연월,가장최근학교_입학및편입연월,직업교육및직장체험_재학휴학중직장체험여부,가장최근학교_년제수,가장최근학교_편입경험유무,직업교육및직장체험_취업관련시험준비여부,최근직장_전공관련성코드,가장최근학교_휴학경험유무,조사연월,연령대,진성쉬었음,취업여부,취업예측확률,단절위험_환경평균,정책유형,재연결지수,지원필요도점수
2,28,784,4,21,1,0,1,0,0,0,0,1,0,1,0,0,0,0,3,3,1994,1,201502,201303,1,2,2,2,2,2,202205,25-29,0,1,0.8716348047392332,0.15633791231367275,재연결 가능 단절군,0.863,0.1479
1,20,400,4,100,1,1,0,0,0,0,1,0,0,1,0,0,0,0,2,2,2002,3,0,202103,1,0,0,2,0,0,202305,20-24,0,1,0.5958721642994972,0.492572976263481,재연결 가능 단절군,0.569,0.466
1,22,484,5,70,1,1,0,0,0,0,1,0,0,0,1,1,0,0,2,1,2000,3,0,201903,1,0,0,2,0,0,202205,20-24,0,0,0.38377389486260455,0.4803533520422679,안정군,0.425,0.5211
1,32,1024,5,91,2,0,0,1,0,0,0,0,0,0,1,0,0,0,4,1,1989,1,201402,200803,1,4,2,2,4,1,202105,30-34,0,1,0.9930533175779711,0.05925964304922146,안정군,0.977,0.0436
2,39,1521,3,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,5,0,1983,3,0,0,0,0,0,0,0,0,202305,35-39,0,1,0.6248713236724884,0.30263997373455936,취업취약 비단절군,0.647,0.3244
1,20,400,5,40,1,1,0,0,0,0,1,0,0,0,1,0,1,0,2,1,2001,3,0,202003,2,0,0,2,0,0,202105,20-24,0,0,0.031039944090245075,0.4858207213569005,고착형 단절 위험군,0.176,0.6308
2,37,1369,4,100,2,0,0,0,1,1,0,0,0,1,0,0,0,0,5,0,1983,2,0,0,0,0,0,0,0,0,202105,35-39,0,0,0.5344077384236273,0.31559084187742065,고착형 단절 위험군,0.579,0.3606
2,39,1521,5,30,2,0,0,0,1,1,0,0,0,0,1,0,1,0,5,0,1982,2,0,0,0,0,0,0,0,0,202205,35-39,0,0,0.5958721642994972,0.31144141770894623,고착형 단절 위험군,0.624,0.3392
2,28,784,5,70,1,0,1,0,0,0,0,1,0,0,1,1,0,0,3,3,1993,3,201702,201203,1,4,2,2,2,1,202205,25-29,0,1,0.8938898172768219,0.15633791231367275,재연결 가능 단절군,0.879,0.1413
2,34,1156,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,4,0,1986,3,0,5,0,0,0,0,0,0,202105,30-34,0,0,0.5326446480333696,0.24230136139123576,고착형 단절 위험군,0.6,0.3098
